time,site_id,ghi_wm2,ghi_b_wm2,poa_wm2,poa2_wm2,ref_cell1_wm2,ref_cell2_wm2,temp_amb_c,temp_amb1_c,temp_amb2_c,temp_mod_avg_c,temp_mod1_c,temp_mod2_c,temp_mod3_c,temp_mod4_c,temp_mod5_c,temp_mod6_c,ref_cell1_temp_c,ref_cell2_temp_c,wind_speed_ms,wind_speed_max_ms,wind_dir_deg,precip_mm,precip_dif_mm,ws_com_status,ws_com_quality,ws_num_fails,source,quality,dhi_wm2,dni_wm2
2024-01-03 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,7.5,,,,,,,,solcast_historic,0,0,0
2024-01-03 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,6.5,,,,,,,,solcast_historic,0,0,0
2024-01-03 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,5.8,,,,,,,,solcast_historic,0,0,0
2024-01-03 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,5.6,,,,,,,,solcast_historic,0,0,0
2024-01-03 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,5.6,,,,,,,,solcast_historic,0,0,0
2024-01-03 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,5.6,,,,,,,,solcast_historic,0,0,0
2024-01-03 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7,,,,,,9,,,,,,,,,,,,5.3,,,,,,,,solcast_historic,0,7,0
2024-01-03 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,58,,,,,,9,,,,,,,,,,,,5.1,,,,,,,,solcast_historic,0,54,24
2024-01-03 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,95,,,,,,9,,,,,,,,,,,,4.9,,,,,,,,solcast_historic,0,95,0
2024-01-03 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,84,,,,,,9,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,84,0
2024-01-03 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,69,,,,,,9,,,,,,,,,,,,4,,,,,,,,solcast_historic,0,69,0
2024-01-03 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,64,,,,,,9,,,,,,,,,,,,3.7,,,,,,,,solcast_historic,0,64,0
2024-01-03 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,32,,,,,,9,,,,,,,,,,,,3.7,,,,,,,,solcast_historic,0,32,0
