time,site_id,p_ac_kw,p_dc_kw,p_dc_stc_kw,poa_total_wm2,t_cell_c,tier_used,fit_quality,source,quality
2024-11-23 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1009.0259491712991,1042.954726563011,28399.68,38.26943312810824,9.31963562510718,3,low,physics_sdm,0
2024-11-23 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,589.3390548030115,609.1557439724778,28399.68,22.75479807617247,8.784648209523189,3,low,physics_sdm,0
2024-11-23 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,73.88934651797632,76.373896287669,28399.68,3.1029270103871545,9.106997483116798,3,low,physics_sdm,0
2024-11-23 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,10,3,low,physics_sdm,0
2024-11-23 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.1473174822432668e-43,1.1858963507893351e-43,28399.68,0,11,3,low,physics_sdm,0
2024-11-23 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,12,3,low,physics_sdm,0
2024-11-23 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,12,3,low,physics_sdm,0
2024-11-23 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,13,3,low,physics_sdm,0
2024-11-23 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,13,3,low,physics_sdm,0
2024-11-23 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,13,3,low,physics_sdm,0
2024-11-24 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,14,3,low,physics_sdm,0
2024-11-24 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,14,3,low,physics_sdm,0
2024-11-24 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,14,3,low,physics_sdm,0
2024-11-24 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,14,3,low,physics_sdm,0
2024-11-24 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-11-24 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-11-24 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-11-24 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-11-24 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-11-24 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,680.5928446505126,703.4779678126118,28399.68,26.89203409002201,16.927311520345587,3,low,physics_sdm,0
2024-11-24 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1311.276892331001,1355.3689415150022,28399.68,50.681141169656854,17.747625557574374,3,low,physics_sdm,0
2024-11-24 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,922.7557160746168,953.7836329516191,28399.68,36.20081512118347,18.248303969695982,3,low,physics_sdm,0
2024-11-24 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1169.1957379995079,1208.5102689632593,28399.68,45.50959615234494,18.569296419046378,3,low,physics_sdm,0
2024-11-24 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1499.6169109245823,1550.0419454694265,28399.68,57.921304193893555,18.99728635151357,3,low,physics_sdm,0
2024-11-24 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1720.7048483645106,1778.5640261239596,28399.68,66.19577622159264,19.282612973158365,3,low,physics_sdm,0
2024-11-24 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,868.2060206334625,897.3996888720342,28399.68,34.1321971142587,18.176972314284782,3,low,physics_sdm,0
2024-11-24 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,121.7432830412378,125.83693469869495,28399.68,5.171545017311924,17.178329138527996,3,low,physics_sdm,0
2024-11-24 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-11-24 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-11-24 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-11-24 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-11-24 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,16,3,low,physics_sdm,0
2024-11-24 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,15,3,low,physics_sdm,0
2024-11-24 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,14,3,low,physics_sdm,0
